
[00:00:00.000 --> 00:00:04.600]  不知大家想起過去年輕時代
[00:36:46.280 --> 00:36:49.280]  導致我經常覺得焦慮和未能安息
[00:36:49.280 --> 00:36:51.240]  在我相信主之後
[00:36:51.240 --> 00:36:53.760]  我就開始更多去依靠神
[00:36:53.760 --> 00:36:57.200]  每當遇到困難,我都會祈禱跟祂說
[00:36:57.200 --> 00:36:59.920]  將所有事情都交託給祂
[00:36:59.920 --> 00:37:03.600]  甚至在面對不同事或不同困難時
[00:37:03.600 --> 00:37:06.040]  態度和視野都有改變
[00:37:06.040 --> 00:37:12.200]  所以就像當一些事沒有跟著我的計劃去做
[00:37:12.200 --> 00:37:13.640]  我也不會像之前那樣
[00:37:13.640 --> 00:37:16.160]  很執著想快點跟著計劃
[00:37:16.240 --> 00:37:20.160]  而會相信神會有更好的安排給我
[00:37:20.160 --> 00:37:23.000]  亦因為這些心態上的改變
[00:37:23.000 --> 00:37:24.640]  令我遇到困難時
[00:37:24.640 --> 00:37:27.080]  都沒有以前那麼焦慮和不安
[00:37:27.080 --> 00:37:30.760]  我很感恩神一直以來對我的看顧
[00:37:30.760 --> 00:37:33.400]  以及很有耐性地回應我的禱告
[00:37:33.400 --> 00:37:34.640]  最後就是我很開心
[00:37:34.640 --> 00:37:37.120]  可以在小組裡認識到很好的導師
[00:37:37.120 --> 00:37:38.680]  和一群很好的朋友
[00:37:38.680 --> 00:37:41.160]  無論在信仰還是生活上
[00:37:41.160 --> 00:37:42.800]  他們都幫了我很多
[00:37:42.880 --> 00:37:46.360]  他們令我可以更快融入教會的生活
[00:37:46.360 --> 00:37:48.520]  我相信在未來的道路上
[00:37:48.520 --> 00:37:50.520]  神都會一直與我同在
[00:37:50.520 --> 00:37:53.400]  無論遇到甚麼困難,祂都會陪著我
[00:37:53.400 --> 00:37:56.320]  這就是我小小的分享,謝謝
[00:37:56.320 --> 00:38:08.480]  好,大英姐妹,你體會到嗎
[00:38:08.480 --> 00:38:11.560]  其實神的話語真的很有大能
[00:38:11.640 --> 00:38:16.000]  可以幫助這位青少奶,Janice
[00:38:16.000 --> 00:38:19.200]  她在生命裡活在一個枷鎖裡
[00:38:19.200 --> 00:38:23.960]  大家剛才也聽到很多恐懼和擔憂
[00:38:23.960 --> 00:38:25.160]  那種情況像甚麼
[00:38:25.160 --> 00:38:28.000]  可能在《出埃及記》中
[00:38:28.000 --> 00:38:33.240]  以色列人活在一個枷鎖和重擔裡
[00:38:33.240 --> 00:38:37.320]  但上帝卻叫他們釋放,讓他們得到自由
[00:38:37.320 --> 00:38:38.760]  讓他們在生命裡
[00:38:38.840 --> 00:38:41.920]  可以承擔真正最應該要承擔的
[00:38:41.920 --> 00:38:44.880]  就是上帝賜給他們生命裡的使命
[00:38:44.880 --> 00:38:47.960]  大英姐妹,你可以成為那個
[00:38:47.960 --> 00:38:51.320]  你可以成為讓人體會到
[00:38:51.320 --> 00:38:55.320]  主耶穌基督的好福音使者
[00:38:55.320 --> 00:38:58.360]  在生命裡,其實上帝給了你很多恩賜
[00:38:58.360 --> 00:39:00.160]  很多恩典
[00:39:00.160 --> 00:39:03.560]  讓你不只是得到祝福
[00:39:03.560 --> 00:39:07.400]  而是你可以成為祝福其他人的那一位
[00:39:07.480 --> 00:39:10.840]  所以在總結裡,很想大家體會到
[00:39:10.840 --> 00:39:11.960]  我們要體會到
[00:39:11.960 --> 00:39:13.880]  生命裡最需要追求的
[00:39:13.880 --> 00:39:15.480]  是我們完成我們的使命
[00:39:15.480 --> 00:39:17.200]  得到屬天的安息
[00:39:17.200 --> 00:39:19.040]  我們生命裡需要做到這件事
[00:39:19.040 --> 00:39:21.720]  我們要由心而發地體會到
[00:39:21.720 --> 00:39:24.040]  上帝是值得我們相信和依靠
[00:39:24.040 --> 00:39:25.440]  我們要信服祂
[00:39:25.440 --> 00:39:29.440]  而到最後,當我們做不到、解決不了時
[00:39:29.440 --> 00:39:32.840]  我們要相信我們的主,主耶穌基督
[00:39:32.840 --> 00:39:34.600]  祂的恩典憐憫要臨到我們
[00:39:34.600 --> 00:39:36.840]  祂要成為我們隨時的幫助
[00:39:36.920 --> 00:39:39.160]  並且很盼望我們的弟兄姊妹
[00:39:39.160 --> 00:39:43.400]  今天也很想邀請你們去想一想
[00:39:43.400 --> 00:39:45.120]  過去的生命裡
[00:39:45.120 --> 00:39:47.920]  有沒有一些曾經在青少年的時期
[00:39:47.920 --> 00:39:49.880]  或者在生命裡輔助過你
[00:39:49.880 --> 00:39:51.720]  幫助你渡過難關的
[00:39:51.720 --> 00:39:55.480]  一些屬靈的同行者
[00:39:55.480 --> 00:39:56.080]  今天的你
[00:39:56.080 --> 00:39:57.880]  其實你可以成為那個同行者
[00:39:57.880 --> 00:40:01.080]  去幫助我們現在身處在一個
[00:40:01.080 --> 00:40:04.920]  很混亂動盪的世界裡的青少年
[00:40:05.000 --> 00:40:07.720]  不如有少許時間,有請敬拜隊
[00:40:07.720 --> 00:40:09.280]  我們一起去禱告,好嗎
[00:40:09.280 --> 00:40:12.880]  在禱告裡
[00:40:12.880 --> 00:40:18.080]  也很想大家先回望在生命裡
[00:40:18.080 --> 00:40:21.360]  你經歷過上帝的點滴
[00:40:21.360 --> 00:40:22.480]  你在生命裡
[00:40:22.480 --> 00:40:29.880]  你是如何體會到上帝更新、改變你
[00:40:29.880 --> 00:40:32.920]  去幫助你
[00:40:33.000 --> 00:40:41.000]  以致你認識到上帝的好和愛
[00:40:41.000 --> 00:40:41.880]  你在生命裡
[00:40:41.880 --> 00:40:46.000]  有沒有經歷過一些屬靈的同行者
[00:40:46.000 --> 00:40:49.280]  輔助過你、幫助過你
[00:40:49.280 --> 00:40:52.360]  以致你可以體會到上帝的愛更多
[00:40:52.360 --> 00:41:01.920]  同時也很想你為青少年的群體
[00:41:02.000 --> 00:41:03.720]  去禱告
[00:41:03.720 --> 00:41:05.720]  他們現在正在面對的
[00:41:05.720 --> 00:41:06.520]  可能有很多事情
[00:41:06.520 --> 00:41:08.720]  他們也不知道如何處理
[00:41:08.720 --> 00:41:10.720]  甚至有些青少年也會說
[00:41:10.720 --> 00:41:11.920]  「為何我會生活」
[00:41:11.920 --> 00:41:15.360]  「為何我會生在這個亂世裡」
[00:41:15.360 --> 00:41:17.080]  可能其實他們也不太知道
[00:41:17.080 --> 00:41:20.240]  如何面對生活
[00:41:20.240 --> 00:41:21.680]  甚至他們嘗試去學習
[00:41:21.680 --> 00:41:25.480]  去成為這個高級大人的時間
[00:41:25.480 --> 00:41:29.720]  其實有時候他們也可能會有困難
[00:41:29.720 --> 00:41:31.440]  會有擔憂
[00:41:31.520 --> 00:41:33.200]  你去為他們禱告
[00:41:33.200 --> 00:41:40.400]  求天父的愛成為他們的力量
[00:41:40.400 --> 00:41:43.600]  去幫助他們
[00:41:43.600 --> 00:41:51.200]  幫助他們在生命裡看到盼望
[00:42:02.520 --> 00:42:07.880]  同時也很想你為自己去禱告
[00:42:07.880 --> 00:42:11.240]  過去的生命裡
[00:42:11.240 --> 00:42:15.440]  上帝賜給你的恩賜是怎樣的
[00:42:15.440 --> 00:42:23.360]  當中有否一些人在你心裡浮現
[00:42:23.360 --> 00:42:26.400]  其實你也會體會到
[00:42:26.400 --> 00:42:27.840]  其實你可以發揮你的恩賜
[00:42:27.840 --> 00:42:29.880]  讓別人得到祝福
[00:42:31.640 --> 00:42:33.320]  我們在這個世界裡
[00:42:33.320 --> 00:42:37.520]  不只是得到福音,然後等待上天堂
[00:42:37.520 --> 00:42:40.680]  而是我們在生命裡有一個使命
[00:42:40.680 --> 00:42:41.800]  我們要為主而活
[00:42:41.800 --> 00:42:45.760]  我們要將福音帶到別人的生命裡
[00:42:45.760 --> 00:42:50.000]  上帝所創造的你是怎樣的
[00:42:50.000 --> 00:42:52.960]  你今天如何為上帝而活
[00:42:52.960 --> 00:42:58.480]  你會為自己的生命去禱告
[00:43:02.200 --> 00:43:04.240]  求天父激勵你、幫助你
[00:43:04.240 --> 00:43:09.400]  讓你的生命也可以成為別人的祝福
[00:43:09.400 --> 00:43:22.400]  我們一起去禱告
[00:43:22.400 --> 00:43:23.720]  上帝天父,我們很感謝你
[00:43:23.720 --> 00:43:27.520]  感謝你創造了我們的生命
[00:43:27.520 --> 00:43:28.440]  主要我們的生命
[00:43:28.440 --> 00:43:30.560]  其實由我們在沒有福音的世界裡
[00:43:30.640 --> 00:43:32.120]  你已經認識我們
[00:43:32.120 --> 00:43:34.480]  並且主,你在我們生命裡
[00:43:34.480 --> 00:43:37.760]  有我們獨特的呼召、獨特的心意
[00:43:37.760 --> 00:43:39.400]  主一求你幫助我們
[00:43:39.400 --> 00:43:41.360]  讓我們可以去學習、去回應
[00:43:41.360 --> 00:43:42.960]  讓我們在生命裡
[00:43:42.960 --> 00:43:45.800]  當我們體會到祢的愛、祢的恩典時
[00:43:45.800 --> 00:43:47.200]  我們可以回應
[00:43:47.200 --> 00:43:50.120]  祂盼望將這份祝福帶到別人身上
[00:43:50.120 --> 00:43:51.040]  主,我們感謝祢
[00:43:51.040 --> 00:43:53.320]  祈禱交託,奉主耶穌基督的名而祈求
[00:43:53.320 --> 00:43:54.120]  阿們
[00:43:54.120 --> 00:43:56.880]  讓我們一起唱一首回應詩,好嗎
[00:43:56.880 --> 00:43:58.440]  我們將如飛的一生…
[00:43:58.440 --> 00:44:00.160]  好,我們一起站起來,好嗎
[00:44:00.240 --> 00:44:04.440]  一起唱這首詩歌
[00:44:04.440 --> 00:44:07.080]  盼望我們可以體會到
[00:44:07.080 --> 00:44:08.920]  詩歌裡提及到
[00:44:08.920 --> 00:44:11.640]  當我們去數算我們的日子時
[00:44:11.640 --> 00:44:13.760]  我們體會到我們真的需要去追求
[00:44:13.760 --> 00:44:16.640]  真正有意義的事去做,謝謝
[00:44:31.240 --> 00:44:38.840]  (時光的橋頭 轉眼星空)
[00:44:38.840 --> 00:44:45.000]  (誰可聽慣慢遊在手中)
[00:44:45.000 --> 00:44:52.200]  (求救我數算我的日子)
[00:44:52.200 --> 00:44:59.240]  (願我算上這不明路面)
[00:44:59.320 --> 00:45:06.440]  (便若有得笑 便話可樂天)
[00:45:06.440 --> 00:45:12.400]  (如飛的一生當儆惡女主)
[00:45:12.400 --> 00:45:19.120]  (神教我數算 恩典日子)
[00:45:19.120 --> 00:45:26.320]  (願信心建築 尊主旨意)
[00:45:26.400 --> 00:45:33.320]  (來讓我戰士 強如可怕雪)
[00:45:33.320 --> 00:45:38.520]  (如水是火可煮)
[00:45:38.520 --> 00:45:39.880]  感謝你禱告
[00:45:39.880 --> 00:45:43.200]  這一刻也很想你作出呼召
[00:45:43.200 --> 00:45:45.560]  如果當中有大兄姐妹
[00:45:45.560 --> 00:45:48.120]  你很想在生命裡
[00:45:48.120 --> 00:45:51.360]  願意去慰藉我們年輕的群體去禱告
[00:45:51.360 --> 00:45:53.480]  你願意去禱告、紀念他們的話
[00:45:53.480 --> 00:45:55.000]  也想你們去舉手
[00:45:55.640 --> 00:45:58.600]  體會到他們在生命裡面對很多困難
[00:45:58.600 --> 00:46:01.080]  他們有很多事情都不懂得怎樣處理
[00:46:01.080 --> 00:46:03.160]  但他們在生命裡真的很需要
[00:46:03.160 --> 00:46:05.440]  體會到主耶穌基督的福音的話
[00:46:05.440 --> 00:46:09.560]  你也要舉手,願意去為他們禱告
[00:46:09.560 --> 00:46:12.520]  看到嗎…
[00:46:12.520 --> 00:46:17.040]  你可以成為他們在生命裡
[00:46:17.040 --> 00:46:18.520]  屬靈的同行者
[00:46:18.520 --> 00:46:20.680]  幫他們打氣、扶持
[00:46:20.680 --> 00:46:23.280]  幫他們體會到主耶穌基督的好
[00:46:23.360 --> 00:46:25.840]  幫他們體會到其實在生命裡
[00:46:25.840 --> 00:46:27.480]  有一個更有意義的東西
[00:46:27.480 --> 00:46:29.200]  讓他們去追求
[00:46:29.200 --> 00:46:31.560]  去跟隨上帝
[00:46:31.560 --> 00:46:35.320]  讓我們回到上帝的安息裡
[00:46:35.320 --> 00:46:38.920]  同時間,我也很想再次呼召
[00:46:38.920 --> 00:46:40.480]  如果當中有大兄姐妹
[00:46:40.480 --> 00:46:41.840]  其實也體會到
[00:46:41.840 --> 00:46:45.200]  你很想去服侍現在的年輕人的話
[00:46:45.200 --> 00:46:47.120]  你很想成為他們的導師的話
[00:46:47.120 --> 00:46:50.360]  也想你去舉手,很想為他們禱告
[00:46:54.360 --> 00:46:59.200]  (祈禱…祈禱…祈禱…祈禱)
[00:46:59.200 --> 00:47:00.680]  在他們的生命裡
[00:47:00.680 --> 00:47:04.320]  去扶持他們,為他們打氣
[00:47:04.320 --> 00:47:09.400]  讓他們回到神的懷孕裡
[00:47:09.400 --> 00:47:12.400]  回到真正的出路裡
[00:47:12.400 --> 00:47:21.200]  我們一起去禱告,好嗎
[00:47:21.200 --> 00:47:22.560]  秋水天父,我們很感謝你
[00:47:22.640 --> 00:47:24.640]  感謝你帶領我們
[00:47:24.640 --> 00:47:27.360]  讓我們在生命裡經歷你
[00:47:27.360 --> 00:47:30.800]  而且過去我們經歷過很多祝福
[00:47:30.800 --> 00:47:32.000]  很多恩典
[00:47:32.000 --> 00:47:35.040]  你的恩典其實不斷伴隨著我們
[00:47:35.040 --> 00:47:36.120]  祈求你幫助我們
[00:47:36.120 --> 00:47:38.160]  讓我們去認定你、捉緊你
[00:47:38.160 --> 00:47:40.200]  並且讓我們在當中
[00:47:40.200 --> 00:47:44.800]  可以為我們年輕一代禱告、紀念他們
[00:47:44.800 --> 00:47:46.240]  而且在當中
[00:47:46.240 --> 00:47:48.920]  我們可以去幫助、扶持他們
[00:47:48.920 --> 00:47:49.960]  求你幫助
[00:47:49.960 --> 00:47:52.200]  讓我們知道我們在生命裡
[00:47:52.280 --> 00:47:54.680]  是需要尋求你的心意更多
[00:47:54.680 --> 00:47:57.280]  去跟隨你的旨意、使命更多
[00:47:57.280 --> 00:47:59.600]  去幫助、祈禱、交託
[00:47:59.600 --> 00:48:02.080]  奉主耶穌基督的名義祈求,阿們
[00:48:02.080 --> 00:48:03.480]  讓我們再唱一首歌,好嗎
[00:48:03.480 --> 00:48:04.760]  「如飛的一生」
[00:48:04.760 --> 00:48:06.200]  希望我們在生命裡
[00:48:06.200 --> 00:48:08.920]  都可以認定我們當中
[00:48:08.920 --> 00:48:10.440]  我們要真正去追求的
[00:48:10.440 --> 00:48:11.880]  唯有主耶穌基督
[00:48:11.880 --> 00:48:15.960]  我們一起唱,好嗎
[00:48:23.200 --> 00:48:28.840]  (我要一生尋求美麗)
[00:48:28.840 --> 00:48:36.920]  (時光不要跑 轉眼成河)
[00:48:36.920 --> 00:48:42.760]  (誰可牽掛萬有在手中)
[00:48:42.760 --> 00:48:49.880]  (求教我訴說 我的日子)
[00:48:49.960 --> 00:48:56.960]  (願我宣誓這輩子滿面)
[00:48:56.960 --> 00:49:03.560]  (別人有多少 言話可好調)
[00:49:03.560 --> 00:49:09.880]  (如飛一生不必畏懼)
[00:49:09.880 --> 00:49:16.080]  (教我訴說 日年日子)
[00:49:16.160 --> 00:49:22.440]  (願信心變作盡處自然)
[00:49:22.440 --> 00:49:30.160]  (來讓我天天 強烈向白雪)
[00:49:30.160 --> 00:49:33.400]  (如心似火)
[00:49:33.400 --> 00:49:36.800]  成為你的回應 敬拜
[00:49:36.800 --> 00:49:40.280]  回應我們主一愛人
[00:49:40.280 --> 00:49:41.600]  祂的恩典和愛
[00:49:41.600 --> 00:49:44.280]  臨到我們的生命裡
[00:49:44.280 --> 00:49:45.880]  我們的生命都是屬於祂的
[00:49:45.960 --> 00:49:47.920]  我們的生命都要為祂而活
[00:49:47.920 --> 00:49:49.240]  讓我們可以體會到
[00:49:49.240 --> 00:49:50.760]  我們信仰基督也好
[00:49:50.760 --> 00:49:53.200]  讓我們體會到跟隨祂的基督也好
[00:49:53.200 --> 00:49:54.800]  將我們的生命都獻上
[00:49:54.800 --> 00:49:56.760]  為主而活,弟兄姊妹
[00:49:56.760 --> 00:50:00.280]  (如飛一生不必畏懼)
[00:50:00.280 --> 00:50:02.680]  敬拜我們主尋求祂跟隨
[00:50:02.680 --> 00:50:08.760]  (教我訴說 日年日子)
[00:50:08.760 --> 00:50:15.120]  (願信心變作盡處自然)
[00:50:16.000 --> 00:50:22.480]  (來讓我天天 強烈向白雪)
[00:50:22.480 --> 00:50:28.600]  (如心似火)
[00:50:28.600 --> 00:50:31.760]  親愛的天父,我們感謝祢
[00:50:31.760 --> 00:50:34.040]  感謝祢設給我們生命裡
[00:50:34.040 --> 00:50:35.120]  有那份美麗氣息
[00:50:35.120 --> 00:50:37.960]  並且在我們生命裡有祢的呼召
[00:50:37.960 --> 00:50:39.320]  我們在這個世界
[00:50:39.320 --> 00:50:42.840]  再為地上的一切去回應
[00:50:42.920 --> 00:50:46.120]  讓我們知道祢才是真正值得我們追求
[00:50:46.120 --> 00:50:49.480]  祢幫助我們,幫助我們認定祢
[00:50:49.480 --> 00:50:53.880]  在生命裡去尋求祢的心意更多
[00:50:53.880 --> 00:50:54.840]  我們感謝祢
[00:50:54.840 --> 00:50:57.760]  祈禱交托和主耶穌基督的名義祈求
[00:50:57.760 --> 00:50:59.760]  阿們,弟兄姊妹可以請坐
