
[00:00:00.000 --> 00:00:04.800]  主:靈佑姐妹平安!感謝神我們能夠一起來相聚
[00:34:03.400 --> 00:34:07.400]  我們的救主是一位觸摸人心的救主
[00:34:07.400 --> 00:34:09.400]  我不知道你有沒有想過
[00:34:09.400 --> 00:34:12.400]  耶穌如果想要醫治他
[00:34:12.400 --> 00:34:18.400]  可以用其他的哪一些方法呢
[00:34:18.400 --> 00:34:20.400]  什麼方法
[00:34:20.400 --> 00:34:22.400]  很多方法
[00:34:22.400 --> 00:34:26.400]  耶穌可以不摸他對不對
[00:34:26.400 --> 00:34:27.400]  耶穌如果不摸他
[00:34:27.400 --> 00:34:29.400]  能不能夠醫治他
[00:34:29.400 --> 00:34:31.400]  耶穌說潔淨吧
[00:34:31.400 --> 00:34:33.400]  有沒有做過這件事情啊耶穌
[00:34:33.400 --> 00:34:36.400]  有啊
[00:34:36.400 --> 00:34:38.400]  耶穌如果
[00:34:38.400 --> 00:34:40.400]  另外一個方法是什麼呢
[00:34:40.400 --> 00:34:45.400]  叫他去河裡面沖一沖涼
[00:34:45.400 --> 00:34:48.400]  這個在舊約有沒有發生過
[00:34:48.400 --> 00:34:52.400]  發生過啊
[00:34:52.400 --> 00:34:53.400]  那麼
[00:34:53.400 --> 00:34:55.400]  耶穌有很多方法可以醫治他
[00:34:55.400 --> 00:34:57.400]  但是耶穌竟然怎麼樣呢
[00:34:57.400 --> 00:35:01.400]  動了慈心伸手摸他
[00:35:01.400 --> 00:35:03.400]  你知道這個動作是
[00:35:03.400 --> 00:35:06.400]  對當時候的人來說是
[00:35:06.400 --> 00:35:07.400]  不可能
[00:35:07.400 --> 00:35:08.400]  不應該的
[00:35:08.400 --> 00:35:09.400]  這是不潔淨的人
[00:35:09.400 --> 00:35:12.400]  你摸了他你就立刻不潔淨
[00:35:12.400 --> 00:35:14.400]  而且在當時候
[00:35:14.400 --> 00:35:16.400]  那個法律裡面
[00:35:16.400 --> 00:35:17.400]  那個利率裡面
[00:35:17.400 --> 00:35:18.400]  這個不潔淨是
[00:35:18.400 --> 00:35:21.400]  只次於你摸一個死屍
[00:35:21.400 --> 00:35:24.400]  猶太人當時候有很多不同的利率的
[00:35:24.400 --> 00:35:25.400]  你摸這個不潔淨
[00:35:25.400 --> 00:35:26.400]  摸這個不潔淨
[00:35:26.400 --> 00:35:28.400]  不同等級的
[00:35:28.400 --> 00:35:29.400]  摸死屍是最不潔淨的
[00:35:29.400 --> 00:35:31.400]  第二就是這個了
[00:35:31.400 --> 00:35:34.400]  你碰到麻瘋病人
[00:35:34.400 --> 00:35:36.400]  但耶穌就怎麼樣呢
[00:35:36.400 --> 00:35:37.400]  故意去摸他
[00:35:37.400 --> 00:35:38.400]  我問你
[00:35:38.400 --> 00:35:40.400]  為什麼
[00:35:40.400 --> 00:35:47.400]  為什麼耶穌要去摸他
[00:35:47.400 --> 00:35:50.400]  因為耶穌動了慈心
[00:35:50.400 --> 00:35:53.400]  那個慈心什麼意思呢
[00:35:53.400 --> 00:35:57.400]  就是完全感受到他的孤單
[00:35:57.400 --> 00:35:58.400]  他的痛苦
[00:35:58.400 --> 00:36:00.400]  他的孤獨
[00:36:00.400 --> 00:36:03.400]  他多少多少年
[00:36:03.400 --> 00:36:05.400]  活得不像一個人
[00:36:05.400 --> 00:36:08.400]  耶穌能夠感受他的痛
[00:36:08.400 --> 00:36:10.400]  耶穌知道
[00:36:10.400 --> 00:36:12.400]  他不只是要醫他的病
[00:36:12.400 --> 00:36:16.400]  還要醫他心中的孤單
[00:36:16.400 --> 00:36:18.400]  心中那種的痛苦
[00:36:18.400 --> 00:36:22.400]  你孤單嗎
[00:36:22.400 --> 00:36:25.400]  你有過人家不理解的時候嗎
[00:36:25.400 --> 00:36:27.400]  現在還有是不是很多事情
[00:36:27.400 --> 00:36:32.400]  你有像耶穌
[00:36:32.400 --> 00:36:35.400]  讓耶穌進入你的內心
[00:36:35.400 --> 00:36:36.400]  來觸摸你嗎
[00:36:36.400 --> 00:36:41.400]  祂是觸摸我們的內心深處的需要的主
[00:36:41.400 --> 00:36:43.400]  有很多委屈
[00:36:43.400 --> 00:36:47.400]  我知道你是沒有辦法用言語完全表達的
[00:36:47.400 --> 00:36:49.400]  有些時候你都不知道
[00:36:49.400 --> 00:36:50.400]  你遇到的問題
[00:36:50.400 --> 00:36:51.400]  那個問題到底是什麼
[00:36:51.400 --> 00:36:53.400]  你只知道很痛
[00:36:53.400 --> 00:36:55.400]  很痛苦
[00:36:55.400 --> 00:36:57.400]  你要去跟一個人說
[00:36:57.400 --> 00:36:59.400]  你可能要說上那十幾天
[00:36:59.400 --> 00:37:02.400]  你才能夠把事情理清楚
[00:37:02.400 --> 00:37:04.400]  因為你連自己都不知道
[00:37:04.400 --> 00:37:06.400]  那個原因是什麼
[00:37:06.400 --> 00:37:11.400]  你只知道反正這裡有一大堆的破碎的布
[00:37:11.400 --> 00:37:13.400]  反正我的問題就在裡面
[00:37:13.400 --> 00:37:15.400]  我以為是那個
[00:37:15.400 --> 00:37:17.400]  我一面一面地翻
[00:37:17.400 --> 00:37:19.400]  我知道問題一定在裡面
[00:37:19.400 --> 00:37:21.400]  但是我不知道是什麼
[00:37:21.400 --> 00:37:23.400]  我就是只能夠一面講
[00:37:23.400 --> 00:37:25.400]  我以為是我的原生家庭
[00:37:25.400 --> 00:37:28.400]  我以為是我的家人對我不好
[00:37:28.400 --> 00:37:30.400]  我講來講去
[00:37:30.400 --> 00:37:31.400]  講來講去
[00:37:31.400 --> 00:37:34.400]  你還是講不到你的內心
[00:37:34.400 --> 00:37:37.400]  但是你知道就在這堆垃圾裡面
[00:37:37.400 --> 00:37:39.400]  這堆破布裡面
[00:37:39.400 --> 00:37:42.400]  有一次你翻翻你找到了
[00:37:42.400 --> 00:37:45.400]  耶穌動了慈心
[00:37:45.400 --> 00:37:48.400]  就伸手摸進他內心
[00:37:48.400 --> 00:37:51.400]  這個人被釋放了
[00:37:51.400 --> 00:37:52.400]  忍不住了
[00:37:52.400 --> 00:37:54.400]  一定要跟人家講
[00:37:54.400 --> 00:37:57.400]  你知道耶穌願意為你這樣做嗎
[00:37:57.400 --> 00:37:58.400]  去到你的內心
[00:37:58.400 --> 00:38:01.400]  他要解決的不只是你得救不得救的問題
[00:38:01.400 --> 00:38:04.400]  不只是你能不能夠上天堂的問題
[00:38:04.400 --> 00:38:07.400]  耶穌是要你知道你的心可以被他醫治
[00:38:07.400 --> 00:38:09.400]  變成很健康
[00:38:09.400 --> 00:38:11.400]  很平安很喜樂
[00:38:11.400 --> 00:38:13.400]  我不知道你認識主多久了
[00:38:13.400 --> 00:38:15.400]  但是你認識主越久
[00:38:15.400 --> 00:38:18.400]  你就會發現整個信仰
[00:38:18.400 --> 00:38:21.400]  真的是一個心的問題
[00:38:21.400 --> 00:38:25.400]  你的人生也是一個心的問題
[00:38:25.400 --> 00:38:27.400]  你的心是怎樣
[00:38:27.400 --> 00:38:30.400]  你的人生就是怎樣
[00:38:30.400 --> 00:38:33.400]  所以上帝說你要保守你的心
[00:38:33.400 --> 00:38:36.400]  勝過保守一切
[00:38:36.400 --> 00:38:37.400]  你的心充滿愛
[00:38:37.400 --> 00:38:41.400]  你就是一個知道你人生多麼多愛的人
[00:38:41.400 --> 00:38:44.400]  你的人心充滿著一些委屈
[00:38:44.400 --> 00:38:49.400]  你整個人生就覺得有愛也有委屈
[00:38:49.400 --> 00:38:52.400]  你的人生充滿著不饒恕
[00:38:52.400 --> 00:38:55.400]  就有很多的不饒恕在裡面
[00:38:55.400 --> 00:38:58.400]  心的問題
[00:38:58.400 --> 00:39:01.400]  我最近跟一個弟兄吃飯
[00:39:01.400 --> 00:39:03.400]  就發現他有一個恩賜
[00:39:03.400 --> 00:39:06.400]  別人看他覺得他好像很不愛主
[00:39:06.400 --> 00:39:10.400]  我跟他吃飯的時候就發現他好愛主
[00:39:10.400 --> 00:39:11.400]  為什麼呢
[00:39:11.400 --> 00:39:14.400]  因為他總是做一件事情
[00:39:14.400 --> 00:39:18.400]  他總是把人連起來
[00:39:18.400 --> 00:39:20.400]  有人病了
[00:39:20.400 --> 00:39:22.400]  他突然間會認識到
[00:39:22.400 --> 00:39:27.400]  有人原來會有醫治禱告的能力
[00:39:27.400 --> 00:39:30.400]  他就在去醫院探望這個人的時候
[00:39:30.400 --> 00:39:32.400]  把這個人帶去
[00:39:32.400 --> 00:39:35.400]  我一聽我就知道沒有那麼簡單
[00:39:35.400 --> 00:39:38.400]  你要先去探望這個病人
[00:39:38.400 --> 00:39:41.400]  你又要去找這個人跟他談這個病人的情況
[00:39:41.400 --> 00:39:44.400]  你又要找多一天去到那邊
[00:39:44.400 --> 00:39:46.400]  讓兩個人見面
[00:39:46.400 --> 00:39:50.400]  你要跟這個人的家人安排好時間
[00:39:50.400 --> 00:39:54.400]  一個探訪背後有很多很多的付出
[00:39:54.400 --> 00:39:58.400]  他經常就是連接著
[00:39:58.400 --> 00:40:00.400]  我說我看到你的使命了
[00:40:00.400 --> 00:40:02.400]  你就是一個橋樑
[00:40:02.400 --> 00:40:05.400]  他說是啊我就是一個橋樑
[00:40:05.400 --> 00:40:07.400]  我說我很欣賞你
[00:40:07.400 --> 00:40:08.400]  你願意這樣做
[00:40:08.400 --> 00:40:09.400]  這是很不容易的
[00:40:09.400 --> 00:40:13.400]  因為有些人知道上帝叫他做橋樑
[00:40:13.400 --> 00:40:15.400]  但是也沒有去做
[00:40:15.400 --> 00:40:18.400]  明明該做的但是沒有去做
[00:40:18.400 --> 00:40:21.400]  他一邊吃飯一邊笑笑的跟我說
[00:40:21.400 --> 00:40:24.400]  沒得不做的
[00:40:24.400 --> 00:40:27.400]  我一聽我心裡就感動了
[00:40:27.400 --> 00:40:29.400]  我明白他在說什麼
[00:40:29.400 --> 00:40:32.400]  如果你是一個愛上帝的人
[00:40:32.400 --> 00:40:34.400]  你知道這是什麼意思
[00:40:34.400 --> 00:40:36.400]  沒得不做的
[00:40:36.400 --> 00:40:38.400]  這個需要在這裡
[00:40:38.400 --> 00:40:41.400]  上帝讓你認識這個資源
[00:40:41.400 --> 00:40:44.400]  上帝知道給你一個慈心
[00:40:44.400 --> 00:40:46.400]  沒得不做的
[00:40:46.400 --> 00:40:51.400]  他是帶著喜樂有愛的心來講
[00:40:51.400 --> 00:40:53.400]  沒得不做的
[00:40:53.400 --> 00:40:55.400]  這是真的基督徒
[00:40:55.400 --> 00:40:58.400]  真的愛
[00:40:58.400 --> 00:41:00.400]  愛心小巨人
[00:41:00.400 --> 00:41:03.400]  有一個人偉大的人被稱為愛心小巨人
[00:41:03.400 --> 00:41:05.400]  你們猜得到是誰嗎
[00:41:05.400 --> 00:41:07.400]  愛心小巨人
[00:41:07.400 --> 00:41:10.400]  他講過這樣的兩句話
[00:41:10.400 --> 00:41:11.400]  不只兩句話很多話
[00:41:11.400 --> 00:41:14.400]  看看你們猜得到他是誰嗎
[00:41:14.400 --> 00:41:16.400]  愛的反面不是仇恨
[00:41:16.400 --> 00:41:20.400]  而是漠不關心
[00:41:20.400 --> 00:41:23.400]  The opposite of love is not hatred
[00:41:23.400 --> 00:41:25.400]  It's careless
[00:41:25.400 --> 00:41:26.400]  是漠不關心
[00:41:26.400 --> 00:41:28.400]  除了貧窮和飢餓
[00:41:28.400 --> 00:41:31.400]  世界上最大的問題是孤獨和冷漠
[00:41:31.400 --> 00:41:34.400]  寂寞和不被需要的感覺
[00:41:34.400 --> 00:41:37.400]  就是最悲慘的貧窮
[00:41:37.400 --> 00:41:40.400]  這個愛心小巨人是誰呢
[00:41:40.400 --> 00:41:42.400]  德蘭修女
[00:41:42.400 --> 00:41:47.400]  德蘭修女1910年到1997年
[00:41:47.400 --> 00:41:51.400]  阿爾巴尼亞人誕生在北馬其頓
[00:41:51.400 --> 00:41:53.400]  15歲受感動
[00:41:53.400 --> 00:41:56.400]  因為她看到印度的一些報導
[00:41:56.400 --> 00:42:00.400]  決定到印度接受傳教士訓練工作
[00:42:00.400 --> 00:42:02.400]  在印度住了68年
[00:42:02.400 --> 00:42:05.400]  一生以印度為家
[00:42:05.400 --> 00:42:10.400]  1952年8月成立一間為病垂死病人收容院
[00:42:10.400 --> 00:42:12.400]  那些要死的
[00:42:12.400 --> 00:42:14.400]  她就開始了這個收容院
[00:42:14.400 --> 00:42:18.400]  1985年在美國就建立愛滋病醫院
[00:42:18.400 --> 00:42:20.400]  和愛滋病患之家
[00:42:20.400 --> 00:42:23.400]  還在世界各地設立救濟醫院
[00:42:23.400 --> 00:42:24.400]  麻風病中心
[00:42:24.400 --> 00:42:27.400]  巡迴所和愛滋病服務中心
[00:42:27.400 --> 00:42:29.400]  最後她的人生
[00:42:29.400 --> 00:42:33.400]  留下了4000個修會的修女
[00:42:33.400 --> 00:42:35.400]  超過10萬以上的義工
[00:42:35.400 --> 00:42:38.400]  還有在123個國家中
[00:42:38.400 --> 00:42:41.400]  610個慈善工作
[00:42:41.400 --> 00:42:43.400]  愛心的小巨人
[00:42:43.400 --> 00:42:45.400]  她還說過什麼話呢
[00:42:45.400 --> 00:42:49.400]  句句都令我很多學習跟感動
[00:42:49.400 --> 00:42:53.400]  她說我們以為貧窮就是飢餓
[00:42:53.400 --> 00:42:56.400]  衣不蔽體和沒有房屋
[00:42:56.400 --> 00:43:00.400]  然而最大的貧窮卻是不被需要
[00:43:00.400 --> 00:43:03.400]  沒有愛和不被關心
[00:43:03.400 --> 00:43:05.400]  幕後的世代物質的豐富
[00:43:05.400 --> 00:43:08.400]  無法修飾愛心的冷漠
[00:43:08.400 --> 00:43:11.400]  耶穌說只因不法的事增多
[00:43:11.400 --> 00:43:14.400]  許多人的愛心才漸漸冷淡了
[00:43:14.400 --> 00:43:16.400]  她說愛要怎麼樣愛呢
[00:43:16.400 --> 00:43:19.400]  才是你明白那個真愛呢
[00:43:19.400 --> 00:43:22.400]  她說愛到你會受傷
[00:43:22.400 --> 00:43:24.400]  愛直至成傷
[00:43:24.400 --> 00:43:25.400]  假如你愛至成傷
[00:43:25.400 --> 00:43:28.400]  你會發現傷沒有了
[00:43:28.400 --> 00:43:30.400]  卻有更多的愛
[00:43:30.400 --> 00:43:32.400]  很深的愛
[00:43:32.400 --> 00:43:33.400]  她就說什麼呢
[00:43:33.400 --> 00:43:35.400]  我們做不了大事
[00:43:35.400 --> 00:43:39.400]  只能用大愛來做小事
[00:43:39.400 --> 00:43:40.400]  我們一起學習
[00:43:40.400 --> 00:43:43.400]  用大愛來做小事
[00:43:43.400 --> 00:43:44.400]  一天一天學習
[00:43:44.400 --> 00:43:48.400]  你就會發現神的愛是奇妙的
[00:43:48.400 --> 00:43:52.400]  我們呢
[00:43:52.400 --> 00:43:55.400]  剛才說了中學生的短訓
[00:43:55.400 --> 00:43:57.400]  我們有六位中學生去
[00:43:57.400 --> 00:43:59.400]  我們短訓呢
[00:43:59.400 --> 00:44:01.400]  這次選了東京
[00:44:01.400 --> 00:44:03.400]  在一個機緣巧合的情況下
[00:44:03.400 --> 00:44:06.400]  知道有一個護老院在東京
[00:44:06.400 --> 00:44:10.400]  是照顧中國的戰後遺孤
[00:44:10.400 --> 00:44:12.400]  他們不會講日語
[00:44:12.400 --> 00:44:15.400]  有些日語會講
[00:44:15.400 --> 00:44:17.400]  有些大部分不會講
[00:44:17.400 --> 00:44:19.400]  他們年紀很大了
[00:44:19.400 --> 00:44:21.400]  還有多少機會能夠聽到福音呢
[00:44:21.400 --> 00:44:22.400]  不知道
[00:44:22.400 --> 00:44:24.400]  但是我們就希望
[00:44:24.400 --> 00:44:27.400]  讓我們的中學生有機會去學習
[00:44:27.400 --> 00:44:30.400]  而我們遴選很嚴格
[00:44:30.400 --> 00:44:33.400]  他們出席中學生團去
[00:44:33.400 --> 00:44:35.400]  出席率要比較高
[00:44:35.400 --> 00:44:37.400]  然後他們在信仰上
[00:44:37.400 --> 00:44:39.400]  也要比較認識神
[00:44:39.400 --> 00:44:43.400]  那麼這裡有幾位他們都會去
[00:44:43.400 --> 00:44:45.400]  我這次職員會呢
[00:44:45.400 --> 00:44:47.400]  我們就派了唐人傳道跟Michelle傳道
[00:44:47.400 --> 00:44:49.400]  帶領他們去
[00:44:49.400 --> 00:44:51.400]  我們要為他們禱告
[00:44:51.400 --> 00:44:52.400]  那麼
[00:44:52.400 --> 00:44:55.400]  一位小姐妹Edith她說什麼呢
[00:44:55.400 --> 00:44:59.400]  她說神給了我跟人溝通和學習語言的天賦的能力
[00:44:59.400 --> 00:45:01.400]  我想學會照顧人
[00:45:01.400 --> 00:45:03.400]  希望踏出自己的舒適圈
[00:45:03.400 --> 00:45:05.400]  和更多的人傳福音
[00:45:05.400 --> 00:45:07.400]  Brandon他說什麼呢
[00:45:07.400 --> 00:45:09.400]  希望日本人口老化的問題
[00:45:09.400 --> 00:45:10.400]  他能夠了解多一點
[00:45:10.400 --> 00:45:14.400]  在主的引導下和各位導師體會神的恩典
[00:45:14.400 --> 00:45:16.400]  主耶穌的慈悲關懷
[00:45:16.400 --> 00:45:18.400]  Faye說什麼呢
[00:45:18.400 --> 00:45:20.400]  主要他想學多一點關於神
[00:45:20.400 --> 00:45:23.400]  向東京的老年人傳播主的愛
[00:45:23.400 --> 00:45:25.400]  然後Nelson說什麼呢
[00:45:25.400 --> 00:45:27.400]  他說我們都是神的兒女
[00:45:27.400 --> 00:45:29.400]  祂是我們的天父
[00:45:29.400 --> 00:45:30.400]  祂愛我們
[00:45:30.400 --> 00:45:33.400]  一個父親肯定想自己的兒女回到他的家
[00:45:33.400 --> 00:45:37.400]  我自己的生命被神轉變了180度
[00:45:37.400 --> 00:45:39.400]  我想了解老人家們的故事
[00:45:39.400 --> 00:45:42.400]  我想要聽他們對耶穌的看法
[00:45:42.400 --> 00:45:43.400]  Owen說什麼呢
[00:45:43.400 --> 00:45:46.400]  Owen說我希望學習不同對方的文化
[00:45:46.400 --> 00:45:48.400]  以及關心身體有問題的老人家
[00:45:48.400 --> 00:45:50.400]  學習怎麼樣向人傳福音
[00:45:50.400 --> 00:45:53.400]  怎麼樣學習與人交流和傳福音的技巧
[00:45:53.400 --> 00:45:57.400]  Mose說希望藉著自己微小的能力
[00:45:57.400 --> 00:45:58.400]  服侍人老人家
[00:45:58.400 --> 00:46:01.400]  特別是在日本相信耶穌的人特別少
[00:46:01.400 --> 00:46:04.400]  所以希望傳福音給他們
[00:46:04.400 --> 00:46:06.400]  希望透過服侍神榮耀神
[00:46:06.400 --> 00:46:09.400]  使自己和神的關係更好
[00:46:09.400 --> 00:46:11.400]  我們希望在教會裡面
[00:46:11.400 --> 00:46:12.400]  我們小小的事情
[00:46:12.400 --> 00:46:15.400]  我們培養我們的小朋友也開始
[00:46:15.400 --> 00:46:17.400]  明白什麼叫神的愛
[00:46:17.400 --> 00:46:20.400]  希望他們的愛也激勵我們這些大人
[00:46:20.400 --> 00:46:23.400]  也明白我們自己的生命有沒有這份愛
[00:46:23.400 --> 00:46:25.400]  我們的救主呢
[00:46:25.400 --> 00:46:27.400]  他是一位怎麼樣的救主呢
[00:46:27.400 --> 00:46:30.400]  弟兄姊妹請讀這段經文一二起
[00:46:30.400 --> 00:46:32.400]  感謝救主啊
[00:46:32.400 --> 00:46:33.400]  我不知道你沒有留到
[00:46:33.400 --> 00:46:36.400]  今天這段經文的一個小細節
[00:46:36.400 --> 00:46:38.400]  這個細節就是什麼呢
[00:46:38.400 --> 00:46:40.400]  這個細節就是
[00:46:40.400 --> 00:46:44.400]  這個人回去了他的群體
[00:46:44.400 --> 00:46:49.400]  耶穌卻被迫要去到了曠野
[00:46:49.400 --> 00:46:53.400]  他跟他交換了
[00:46:53.400 --> 00:46:56.400]  這個人以止得竭盡進入群體
[00:46:56.400 --> 00:46:57.400]  他要
[00:46:57.400 --> 00:46:59.400]  耶穌要去到曠野了
[00:46:59.400 --> 00:47:01.400]  上帝在你的身上
[00:47:01.400 --> 00:47:02.400]  在我的身上
[00:47:02.400 --> 00:47:04.400]  常常做的事情
[00:47:04.400 --> 00:47:09.400]  就是以他的犧牲來成就我們的生命
[00:47:09.400 --> 00:47:12.400]  希望你能夠感受到這份愛
[00:47:12.400 --> 00:47:15.400]  我想問你一個問題
[00:47:15.400 --> 00:47:19.400]  你生命希望得到上帝這樣的醫治嗎
[00:47:19.400 --> 00:47:21.400]  醫治你的內心嗎
[00:47:21.400 --> 00:47:26.400]  你希望能夠活出這一份愛嗎
[00:47:26.400 --> 00:47:30.400]  讓我們一起同心禱告
[00:47:30.400 --> 00:47:31.400]  親愛的天父上帝
[00:47:31.400 --> 00:47:34.400]  我們滿心感謝讚美你
[00:47:34.400 --> 00:47:36.400]  主耶穌真的是
[00:47:36.400 --> 00:47:38.400]  擔當了我們的憂患
[00:47:38.400 --> 00:47:40.400]  背負了我們的痛苦
[00:47:40.400 --> 00:47:42.400]  他用他的邊傷
[00:47:42.400 --> 00:47:44.400]  使我們得醫治
[00:47:44.400 --> 00:47:46.400]  主啊我們求你讓我們的心
[00:47:46.400 --> 00:47:48.400]  更加的柔軟
[00:47:48.400 --> 00:47:51.400]  更加的明白你的愛
[00:47:51.400 --> 00:47:55.400]  以致我們真的是能夠得到你的醫治
[00:47:55.400 --> 00:47:57.400]  主我們求你與我們同在
[00:47:57.400 --> 00:47:59.400]  祝福和帶領我們
[00:47:59.400 --> 00:48:02.400]  禱告奉主耶穌基督聖名祈求
[00:48:02.400 --> 00:48:03.400]  Amen
[00:48:03.400 --> 00:48:06.400]  (字幕由 Amara.org 社群提供)

