
[00:00:00.000 --> 00:00:02.140]  剛才的思綱很好
[00:33:57.440 --> 00:33:58.180]  還有呢
[00:33:58.180 --> 00:34:02.540]  在剛才大家那段經文關於以利亞
[00:34:02.540 --> 00:34:04.180]  其實神
[00:34:04.180 --> 00:34:05.380]  第一句就是問他
[00:34:05.380 --> 00:34:07.160]  他走走走走走了
[00:34:07.160 --> 00:34:09.180]  神的神第一句就是問他
[00:34:09.180 --> 00:34:10.320]  你在這裡做什麼?
[00:34:10.320 --> 00:34:11.620]  為什麼你走到這裡?
[00:34:11.620 --> 00:34:12.500]  是吧
[00:34:12.500 --> 00:34:14.960]  很多時候我們不知道自己在做什麼
[00:34:14.960 --> 00:34:16.720]  不知道自己在哪裡
[00:34:16.720 --> 00:34:17.960]  但是和神聊天的時候
[00:34:17.960 --> 00:34:19.900]  起碼知道
[00:34:19.900 --> 00:34:22.200]  我們現在在哪裡在做什麼
[00:34:22.200 --> 00:34:24.440]  但是為什麼很多時候我們做不到
[00:34:24.440 --> 00:34:27.340]  我們信心想我們做的事情呢?
[00:34:27.340 --> 00:34:29.080]  剛才我說了三個例子
[00:34:29.080 --> 00:34:29.540]  奶奶
[00:34:29.540 --> 00:34:31.480]  我不明白就不做了
[00:34:31.480 --> 00:34:32.040]  若娜
[00:34:32.040 --> 00:34:34.580]  這個其實是最難的
[00:34:34.580 --> 00:34:35.880]  我不喜歡做
[00:34:35.880 --> 00:34:37.660]  我不想做
[00:34:37.660 --> 00:34:38.620]  第三個
[00:34:38.620 --> 00:34:42.960]  我們怎麼多去聆聽神的聲音呢?
[00:34:42.960 --> 00:34:45.100]  我就覺得其實三個裡面
[00:34:45.100 --> 00:34:47.400]  如果我們可以做多一點
[00:34:47.400 --> 00:34:49.320]  向內走的祈禱
[00:34:49.320 --> 00:34:52.640]  對每一樣都是有幫助的
[00:34:52.640 --> 00:34:54.000]  因為我很相信
[00:34:54.000 --> 00:34:55.960]  要與主相遇
[00:34:55.960 --> 00:34:57.440]  其實我們如果不與主相遇
[00:34:57.440 --> 00:35:01.340]  我們很難有很徹底的改變
[00:35:01.340 --> 00:35:03.140]  我們需要向外走
[00:35:03.140 --> 00:35:05.380]  也要向內走
[00:35:05.380 --> 00:35:07.880]  但是我覺得重點是更
[00:35:07.880 --> 00:35:10.080]  我們基督徒是更加
[00:35:10.080 --> 00:35:12.320]  我們沒有人一步升天
[00:35:12.320 --> 00:35:15.960]  就算聖經裡面所記載的聖人
[00:35:15.960 --> 00:35:17.460]  他們很多
[00:35:17.460 --> 00:35:20.720]  他們的行為和信心都有很大的偏差
[00:35:20.720 --> 00:35:22.200]  很大的距離
[00:35:22.200 --> 00:35:24.300]  但是如果我們每天有一個醒察
[00:35:24.300 --> 00:35:26.740]  每天可以與上帝有一個
[00:35:26.740 --> 00:35:28.560]  向內走的祈禱
[00:35:28.560 --> 00:35:29.900]  看看一天裡面
[00:35:29.900 --> 00:35:31.400]  有哪些事情
[00:35:31.400 --> 00:35:33.240]  真的刺激到我們
[00:35:33.240 --> 00:35:35.140]  或者令我們開心
[00:35:35.140 --> 00:35:36.240]  而在裡面
[00:35:36.240 --> 00:35:37.280]  我們想問
[00:35:37.280 --> 00:35:38.520]  神究竟
[00:35:38.520 --> 00:35:41.880]  想讓我們發現一些什麼呢?
[00:35:41.880 --> 00:35:42.920]  發現我們是誰?
[00:35:42.920 --> 00:35:44.080]  發現祂是誰?
[00:35:44.080 --> 00:35:45.720]  發現我們的關係
[00:35:45.720 --> 00:35:47.220]  而往前走
[00:35:47.220 --> 00:35:49.560]  在接下來的24小時
[00:35:49.560 --> 00:35:51.460]  我們需要什麼恩典?
[00:35:51.460 --> 00:35:54.800]  我們可以繼續嗎?
[00:35:54.800 --> 00:35:57.760]  希望我們大家都能夠
[00:35:57.760 --> 00:36:00.700]  有每天一些醒察的時間
[00:36:00.700 --> 00:36:02.200]  因為我自己覺得
[00:36:02.200 --> 00:36:04.040]  很多時候神跟我們說話
[00:36:04.040 --> 00:36:06.200]  不是一生人幾次
[00:36:06.200 --> 00:36:08.040]  或者一些很大的事情
[00:36:08.040 --> 00:36:09.340]  其實在每天
[00:36:09.340 --> 00:36:11.420]  上帝都很願意
[00:36:11.420 --> 00:36:14.320]  耶穌都很想與我們有溝通
[00:36:14.320 --> 00:36:15.020]  這個時候
[00:36:15.020 --> 00:36:18.480]  我希望與大家做一個祈禱
[00:36:18.480 --> 00:36:22.320]  周天佛感謝祢給我們有祈禱的權柄
[00:36:22.320 --> 00:36:23.500]  而在裡面
[00:36:23.500 --> 00:36:26.820]  我們能夠真的與祢傾心吐意
[00:36:26.820 --> 00:36:28.460]  很多時候我們都會覺得
[00:36:28.460 --> 00:36:32.000]  我們的信心和行為有很大的距離
[00:36:32.000 --> 00:36:33.860]  有時是因為不明白
[00:36:33.860 --> 00:36:35.840]  有時是因為不知道
[00:36:35.840 --> 00:36:38.400]  更多的時間是因為不願意
[00:36:38.400 --> 00:36:40.240]  求祢叫我們與祢的祈禱
[00:36:40.240 --> 00:36:42.920]  有一個更加的緊密
[00:36:42.920 --> 00:36:44.420]  我們能夠去到祢面前
[00:36:44.420 --> 00:36:46.140]  傾心吐意的時候
[00:36:46.140 --> 00:36:48.580]  就真真正正知道
[00:36:48.580 --> 00:36:50.280]  阻礙我們裡面的
[00:36:50.280 --> 00:36:53.160]  我們還有什麼沒對付
[00:36:53.160 --> 00:36:55.520]  以致當我們真的在裡面
[00:36:55.520 --> 00:36:57.020]  與祢相遇
[00:36:57.020 --> 00:36:59.420]  有一個很大的改變
[00:36:59.420 --> 00:37:01.800]  每天都改多一些
[00:37:01.800 --> 00:37:04.600]  每天都明白祢多一些
[00:37:04.600 --> 00:37:07.300]  每天都愛祢多一些
[00:37:07.300 --> 00:37:10.600]  每天都在跟隨祢一些
[00:37:10.600 --> 00:37:13.280]  以致我們不像那個玩偶一樣
[00:37:13.280 --> 00:37:16.940]  不斷去轉換環境
[00:37:16.940 --> 00:37:19.380]  轉換地方
[00:37:19.380 --> 00:37:21.120]  如果我們內心沒有變
[00:37:21.120 --> 00:37:24.080]  那些靈魂仍然都會跟著我們
[00:37:24.080 --> 00:37:26.460]  求祢與我們同在
[00:37:26.460 --> 00:37:28.920]  給我們每天都有那個空間
[00:37:28.920 --> 00:37:31.300]  更加留意自己內心
[00:37:31.300 --> 00:37:33.260]  裡面影響我們
[00:37:33.260 --> 00:37:35.540]  無論是正面和負面
[00:37:35.540 --> 00:37:39.300]  而更加重要在與祢傾心吐意之後
[00:37:39.300 --> 00:37:41.100]  祢給我們的啟迪
[00:37:41.100 --> 00:37:42.800]  祢給我們的改變
[00:37:42.800 --> 00:37:44.540]  祢給我們的恩典
[00:37:44.540 --> 00:37:46.540]  以致每一天
[00:37:46.540 --> 00:37:48.940]  我們都可以不同
[00:37:48.940 --> 00:37:53.420]  每一天都可以更加的貼近祢
[00:37:53.420 --> 00:37:55.020]  更加的愛祢
[00:37:55.020 --> 00:37:56.120]  以上的禱告
[00:37:56.120 --> 00:37:57.120]  奉主命求
[00:37:57.120 --> 00:37:58.120]  阿們
