
[00:00:00.000 --> 00:00:03.000]  各位來賓
[00:41:53.000 --> 00:41:55.000]  而且明白神的心意
[00:41:55.000 --> 00:41:59.000]  更加我們要做到神的使命
[00:41:59.000 --> 00:42:04.000]  這四方面都是很完整地讓我們去體會
[00:42:04.000 --> 00:42:10.000]  去實踐保羅在這段經文一個很重要的提示
[00:42:10.000 --> 00:42:12.000]  我們今天行事為人
[00:42:12.000 --> 00:42:15.000]  與蒙召的恩去相稱的話
[00:42:15.000 --> 00:42:20.000]  你要真是好好善用你前面的日子
[00:42:20.000 --> 00:42:26.000]  最後我想用這個討論做一個結束
[00:42:26.000 --> 00:42:30.000]  當有很多頂姐妹知道師母的情況
[00:42:30.000 --> 00:42:34.000]  她們都切切為她接下來的手術來有禱告
[00:42:34.000 --> 00:42:38.000]  因為我們確實是經過幾次的測試
[00:42:38.000 --> 00:42:44.000]  都沒有辦法去知道究竟那個鈕是良性還是惡性
[00:42:44.000 --> 00:42:47.000]  我靜下來我自己很覺得
[00:42:47.000 --> 00:42:53.000]  這個正是神要我們學習等候信靠的功課
[00:42:53.000 --> 00:42:56.000]  原來等候很多時候都是最難的
[00:42:56.000 --> 00:43:00.000]  是在考驗你對上帝有沒有絕對的信任
[00:43:00.000 --> 00:43:03.000]  所以我很喜歡這一段的祈禱文
[00:43:03.000 --> 00:43:06.000]  是美國一個很著名的哲學家
[00:43:06.000 --> 00:43:08.000]  Ray Hall Nyberg
[00:43:08.000 --> 00:43:11.000]  他自己所寫的這個禱文
[00:43:11.000 --> 00:43:12.000]  很出名的
[00:43:12.000 --> 00:43:18.000]  但很多時候我們只看到他頭這四行的禱文
[00:43:18.000 --> 00:43:21.000]  他說:主啊!求祢賜我寧靜的心
[00:43:21.000 --> 00:43:24.000]  去接受我不能改變的一切
[00:43:24.000 --> 00:43:27.000]  賜我勇氣去改變我所能改變的一切
[00:43:27.000 --> 00:43:30.000]  並賜我智慧去分辨這兩者的差異
[00:43:30.000 --> 00:43:33.000]  其實這個禱文不是停在這裡的
[00:43:33.000 --> 00:43:36.000]  這個禱文接著有說到
[00:43:36.000 --> 00:43:39.000]  我們要認真的去過我們每一天
[00:43:39.000 --> 00:43:42.000]  享受生命的每一個時刻
[00:43:42.000 --> 00:43:45.000]  迎接艱難作為進入平安的途徑
[00:43:45.000 --> 00:43:47.000]  按照主的方式
[00:43:47.000 --> 00:43:52.000]  面對這不是我所想要的罪惡的世界
[00:43:54.000 --> 00:43:56.000]  最後那一段
[00:43:56.000 --> 00:43:59.000]  堅信主會使正義彰顯
[00:43:59.000 --> 00:44:01.000]  一切甘心
[00:44:01.000 --> 00:44:04.000]  只要我順服祢的旨意
[00:44:04.000 --> 00:44:07.000]  今生我得蒙受足夠的喜樂
[00:44:07.000 --> 00:44:11.000]  來生與主同享永世的歡愉
[00:44:11.000 --> 00:44:12.000]  阿們
[00:44:12.000 --> 00:44:14.000]  我們一起祈禱
[00:44:14.000 --> 00:44:16.000]  天父上帝求祢給祢的兒女們
[00:44:16.000 --> 00:44:18.000]  都有這一份認定
[00:44:18.000 --> 00:44:19.000]  我們的一生
[00:44:19.000 --> 00:44:20.000]  我們的遭遇
[00:44:20.000 --> 00:44:22.000]  我們要經歷的
[00:44:22.000 --> 00:44:24.000]  我們知道祢都是量度過
[00:44:24.000 --> 00:44:25.000]  先給過我們
[00:44:25.000 --> 00:44:27.000]  願祢讓我們能夠學習
[00:44:27.000 --> 00:44:28.000]  全然的信靠
[00:44:28.000 --> 00:44:30.000]  信服與及等候
[00:44:30.000 --> 00:44:32.000]  以致我們今天在祢的面前
[00:44:32.000 --> 00:44:35.000]  都同樣有這一份平靜安穩的心
[00:44:35.000 --> 00:44:38.000]  求主因領我們眾弟兄姊妹
[00:44:38.000 --> 00:44:40.000]  一起在新的一年
[00:44:40.000 --> 00:44:42.000]  我們好好照著上帝
[00:44:42.000 --> 00:44:44.000]  祢的心意喜悅
[00:44:44.000 --> 00:44:46.000]  祢成為我們的意象
[00:44:46.000 --> 00:44:47.000]  祢加我們的能力
[00:44:47.000 --> 00:44:49.000]  去完成祢所託付
[00:44:49.000 --> 00:44:52.000]  我們一切需要完成的
[00:44:52.000 --> 00:44:53.000]  祢的心意
[00:44:53.000 --> 00:44:55.000]  無論在我們的工作間
[00:44:55.000 --> 00:44:57.000]  或者我們的家庭
[00:44:57.000 --> 00:44:58.000]  或者我們的教會
[00:44:58.000 --> 00:45:01.000]  甚至在我們社區服侍的層面
[00:45:01.000 --> 00:45:03.000]  我們都能夠彰顯
[00:45:03.000 --> 00:45:04.000]  神的愛
[00:45:04.000 --> 00:45:05.000]  神的說話
[00:45:05.000 --> 00:45:06.000]  神的福音
[00:45:06.000 --> 00:45:07.000]  都得以廣傳
[00:45:07.000 --> 00:45:10.000]  我們願意主祢喜悅
[00:45:10.000 --> 00:45:11.000]  祢的兒女們
[00:45:11.000 --> 00:45:13.000]  有這一份的立志和禱告
[00:45:13.000 --> 00:45:15.000]  願祢在我們身上
[00:45:15.000 --> 00:45:17.000]  得著一切的榮耀和稱讚
[00:45:17.000 --> 00:45:21.000]  同心合意祈禱奉耶穌基督得勝的名球
[00:45:21.000 --> 00:45:22.000]  阿們
